case_id,image_date,site_id,observed_spacing,manual_spacing,wiggle_spacing,measurement_method,point_group_id,annotation_category,point_match_distance_m,point_length_m,point_bearing_deg,point_mean_spacing_m,point_group_index_mean,point_n_annotations,bathymetry_raw_m,depth,U10,wind_direction_deg,fetch_bin_deg,fetch_at_observation_m,fetch_min_window_m,fetch_max_window_m,Ra,L_inst,coarsened_width,comparison_spacing,pattern_lifetime_s,u_star_water,nu_T_vertical,A_H,n_events,regime,cache_file
obs_024,2020-04-20,neagh,74.96224053,74.96224053,,manual,e4b83d80-94a0-465d-a452-72846860a6ce,manual,2610.6652066267593,,,41.22745526315789,19.0,39.0,-15.557125,15.557125,5.24,103.0,100,8697.018108653065,8697.018108653065,8697.018108653065,15712.94310085388,219.30340821198743,438.60681642397486,438.60681642397486,19800.0,0.007114306029751258,0.007562815812997461,0.11067814819309403,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p696_6p471_20200410_20200420.json
obs_029,2020-11-13,neagh,99.70918716,99.70918716,,manual,8f9b00c1-7390-42db-9dc5-f29fd519f71f,stream,1614.164843404941,,,41.38408648648649,18.5,38.0,-14.655547,14.655547,5.52,213.26097376597463,220,11354.693097914143,11354.693097914143,11354.693097914143,15417.26921834154,207.99147536377066,415.9829507275413,415.9829507275413,19800.0,0.007638189330755775,0.007649166092579057,0.11194184273178981,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p628_6p473_20201103_20201113.json
obs_030,2021-01-22,neagh,76.38345592,76.38345592,,manual,8a978be2-161a-422f-acfe-0ec430ff43ef,stream,1025.151683194084,,,44.69072413793104,14.5,30.0,-13.9549,13.9549,3.4699999999999998,254.9798250415814,260,14995.835151055524,14995.835151055524,14995.835151055524,17841.513892450195,208.26284865813707,416.52569731627415,416.52569731627415,19800.0,0.00414912545884488,0.003956443198969893,0.05790063086563441,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p625_6p327_20210112_20210122.json
obs_031,2021-02-09,neagh,52.64559171,52.64559171,,manual,27c82753-bb1a-40c3-b4c8-11ec016d6ff4,manual,1392.5853496728012,,,87.91182500000001,8.0,17.0,-12.718764,12.718764,6.135,77.07101077809625,80,15806.182238369453,15806.182238369453,21173.026635015547,14807.443726137033,181.23468842415232,362.46937684830465,362.46937684830465,19800.0,0.008838866672845506,0.007681802396449123,0.1124194592393872,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p550_6p444_20210130_20210209.json
obs_032,2021-02-21,neagh,47.17957738,47.17957738,,manual,689b3034-30eb-42ca-bff8-79caf7918f5f,stream,1615.3619125984933,,,43.66888461538461,19.5,40.0,-13.0786,13.0786,5.705,189.78634754000888,180,9289.26165988046,9289.26165988046,14887.754078412196,15228.262795083645,183.56012479374422,367.12024958748844,367.12024958748844,19800.0,0.007992158416974317,0.007142446245132249,0.1045262430722403,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p585_6p362_20210211_20210221.json
obs_033,2021-03-26,neagh,43.47822366,43.47822366,,manual,d34d678c-51fc-4bd8-993b-3be4dcb2b81b,manual,384.55488290055024,,,41.93975106382979,23.5,48.0,-14.070537,14.070537,6.1,232.4606467527175,240,18236.857052586067,18169.21367776573,18236.857052586067,14840.773088428743,201.80271917861134,403.6054383572227,403.6054383572227,19800.0,0.008768696659511337,0.00843077227232139,0.12338027078943067,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p660_6p325_20210316_20210326.json
obs_041,2022-09-24,neagh,53.37615632,53.37615632,,manual,aca30c86-591e-4860-836f-85dc75dd5455,manual,2125.0206655410857,,,51.52653409090909,22.0,45.0,-14.219376,14.219376,5.085,5.627493712825753,0,4546.472761708777,3297.298775118382,4546.472761708777,15881.76803341016,195.59000621595249,195.59000621595249,195.59000621595249,0.0,0.006830474943677309,0.006636713657540411,0.09712509148272648,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p581_6p352_20220914_20220924.json
obs_042,2022-10-07,neagh,43.35428673,43.35428673,,manual,6a071d52-c1fc-4799-bd5a-12e9a1a44e99,manual,1819.3855515855635,,,49.44464651162791,21.5,44.0,-10.773585,10.773585,5.645,247.04872061299878,240,6753.5230486498585,6753.5230486498585,7189.722028861793,15289.022489324514,149.34629370910807,298.69258741821614,298.69258741821614,19800.0,0.007876676752154565,0.0057986234147513,0.08486004650686114,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p555_6p508_20220927_20221007.json
obs_043,2022-11-03,neagh,53.46002757,53.46002757,,manual,1214dea6-6cf1-44c7-8b6e-454f4aee918f,manual,415.9607149906041,,,47.990567796610165,29.5,60.0,-14.114888,14.114888,2.865,189.34946671911024,180,8311.861414553947,8311.861414553947,9513.045786135155,18575.547837611328,208.84547591768145,208.84547591768145,208.84547591768145,19800.0,0.0032903476668128054,0.003173517261880349,0.04644288879812407,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p629_6p386_20221024_20221103.json
obs_044,2022-11-08,neagh,49.45643707,49.45643707,,manual,a2c30aab-e595-4427-9775-f0c5216ae9f1,stream,2845.9768196929676,,,87.3306125,8.0,17.0,-7.476474,7.476474,4.96,183.56352255171547,180,4521.740903264552,4521.740903264552,4779.416972534869,16020.651435302934,103.02725733034912,206.05451466069823,206.05451466069823,19800.0,0.006604809589758611,0.0033742617481766915,0.04938068717278092,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p518_6p538_20221029_20221108.json
obs_045,2022-11-16,neagh,78.83919333,78.83919333,,manual,9ab21fee-caaa-4d83-9dde-75ac31454a92,manual,1182.401425595576,,,66.26376666666667,24.0,49.0,-16.651491,16.651491,1.6949999999999998,174.83624431889552,180,4348.464350161317,4171.439373987404,11346.139181562286,19233.242697641235,250.53798387951554,250.53798387951554,250.53798387951554,0.0,0.0018800785064151324,0.0021391968523499084,0.03130611032886502,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p622_6p449_20221106_20221116.json
obs_046,2022-12-08,neagh,79.91778623,79.91778623,,manual,5d696837-6c59-4ff5-ae6f-4d45291bf244,stream,363.3763827310291,,,94.71690833333334,6.0,13.0,-16.171812,16.171812,2.44,322.02460015474935,320,8628.1907218308,7660.941649540993,8628.1907218308,18984.277158865043,242.8809488121999,242.8809488121999,242.8809488121999,19800.0,0.0027419185797432025,0.0030299459252598037,0.044341791790914076,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p669_6p409_20221128_20221208.json
obs_047,2023-02-26,neagh,56.36417221,56.36417221,,manual,27c82753-bb1a-40c3-b4c8-11ec016d6ff4,manual,882.0815052424384,,,87.91182500000001,8.0,17.0,-12.718764,12.718764,2.96,80.22065790610873,80,15806.182238369453,15806.182238369453,21173.026635015547,18468.13833314738,192.7674753919721,192.7674753919721,192.7674753919721,19800.0,0.003419222693639741,0.0029716245367393036,0.043488286503848166,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p571_6p443_20230216_20230226.json
obs_048,2023-03-08,neagh,49.19757739,49.19757739,,manual,27c82753-bb1a-40c3-b4c8-11ec016d6ff4,manual,1709.2897195922803,,,87.91182500000001,8.0,17.0,-12.718764,12.718764,4.0649999999999995,63.52154294440129,60,21173.026635015547,11499.785084404735,21173.026635015547,17085.21723319289,189.93208698717473,379.86417397434946,379.86417397434946,19800.0,0.005075747605460888,0.004411299724566156,0.06455723591742216,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p548_6p438_20230226_20230308.json
obs_049,2023-04-20,neagh,37.24675827,37.24675827,,manual,a6b9d9ab-a28f-4097-9436-ec4f34e4012d,manual,844.1873481992878,,,39.25008292682927,20.5,42.0,-7.514905,7.514905,5.484999999999999,102.9954416520082,100,6989.916067150487,6989.916067150487,19366.31855490109,15453.622160646495,104.52028036704739,209.04056073409478,209.04056073409478,19800.0,0.0075719219015430205,0.003888223852625843,0.05690227375751515,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p531_6p507_20230410_20230420.json
obs_051,2023-08-05,neagh,39.32672674,39.32672674,,manual,2b2acb35-4ebb-4a79-9a29-7ab477e1e115,manual,2865.6195615281576,,,43.20777547169811,26.5,54.0,-15.079333,15.079333,3.99,348.83933831786214,340,11285.049257161225,4420.564696394146,15126.527198500728,17179.326243313015,219.82395122387805,219.82395122387805,219.82395122387805,5400.0,0.004954793534957073,0.005105394822645749,0.07471498165986484,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p656_6p500_20230726_20230805.json
obs_055,2023-09-22,neagh,43.77557268,43.77557268,,manual,13f4bc67-64a0-4138-a77e-24a90a3dbc43,stream,2198.9256473433506,,,183.87415,5.0,11.0,-15.955824,15.955824,5.635,312.0088767200231,320,12567.602620028954,12567.602620028954,13973.504727475887,15299.19913178368,227.01446982087253,454.02893964174507,454.02893964174507,19800.0,0.007857493318568564,0.008566923662481364,0.12537278047225595,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p648_6p488_20230912_20230922.json
obs_056,2023-10-12,neagh,48.91934722,48.91934722,,manual,3076b16b-4568-4791-a2fa-4c738ff72047,stream,871.2257695386533,,,89.53478125,8.0,17.0,-10.000265,10.000265,1.9049999999999998,234.91700392114734,240,4025.174263544795,3230.349673733502,4025.174263544795,19237.931934402484,148.5275049887361,148.5275049887361,148.5275049887361,0.0,0.002112493542017649,0.0014435390544428582,0.021125495230965127,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p550_6p457_20231002_20231012.json
obs_057,2023-10-14,neagh,47.62729888,47.62729888,,manual,8f9b00c1-7390-42db-9dc5-f29fd519f71f,stream,147.4858978327358,,,41.38408648648649,18.5,38.0,-14.655547,14.655547,4.535,281.59480837459415,280,11874.44008403753,10908.328704758553,11874.44008403753,16511.265286312737,211.82548157760132,423.65096315520265,423.65096315520265,19800.0,0.005859434858579529,0.005867855390995854,0.08587322296335063,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p614_6p461_20231004_20231014.json
obs_058,2023-12-13,neagh,145.2011897,145.2011897,,manual,75c3f919-db63-46e2-8409-24b4ad241d28,manual,573.6523521568552,,,56.23269677419355,15.5,32.0,-12.855518,12.855518,2.855,327.4132902377854,320,5285.246816014916,5285.246816014916,6486.637948749565,18586.589527607677,186.71135087812658,186.71135087812658,186.71135087812658,19800.0,0.0032769151665424175,0.0028785675059452326,0.04212644190795905,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p558_6p423_20231203_20231213.json
obs_059,2024-01-30,neagh,41.35939644,41.35939644,342.9462524,manual,afee9388-78f5-4a15-bfb3-8604d959feeb,manual,197.51326021628026,,,41.32171666666667,24.0,49.0,-14.300511,14.300511,2.9699999999999998,246.16877833926458,240,13145.413716042269,6514.331483746392,13863.141851818504,18456.587178362784,215.02591988786727,215.02591988786727,215.02591988786727,16200.0,0.003432921279502992,0.003354571404111458,0.04909252851966661,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p612_6p356_20240120_20240130.json
obs_060,2024-02-29,neagh,37.8473114,37.8473114,,manual,9c2a1b36-9fa3-48da-9df0-5e78537a7bde,manual,314.15139102190517,,,37.19904237288136,29.5,60.0,-11.723264,11.723264,6.1899999999999995,223.54120488369728,220,7839.126439677071,7839.126439677071,7839.126439677071,14755.254039362144,162.26780924500937,324.53561849001875,324.53561849001875,19800.0,0.00894958221564691,0.007169237150579614,0.10491831500373365,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p559_6p467_20240219_20240229.json
obs_061,2024-03-20,neagh,67.69346434,67.69346434,,manual,e85c4b2d-1b03-4c0c-9cb1-b896d8be3f41,manual,453.67453617129655,,,38.66078484848485,16.5,34.0,-8.60267,8.60267,4.025,2.172057456794221,0,2361.328472500143,2361.328472500143,2361.328472500143,17135.314152921095,117.40994544770149,234.81989089540298,234.81989089540298,19800.0,0.00501109466880892,0.00294569318840074,0.04310879377452243,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p521_6p392_20240310_20240320.json
obs_062,2024-03-22,neagh,40.72962664,40.72962664,,manual,689b3034-30eb-42ca-bff8-79caf7918f5f,stream,1935.3844480059174,,,43.66888461538461,19.5,40.0,-13.0786,13.0786,7.765000000000001,263.0238272731956,260,10733.98105091369,10733.98105091369,10733.98105091369,13407.911899139353,179.91686535341216,359.8337307068243,359.8337307068243,19800.0,0.012354913306123174,0.011041360737399097,0.16158496916546253,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p593_6p352_20240312_20240322.json
obs_063,2024-03-30,neagh,78.44640948,78.44640948,,manual,2d56ea34-de25-4754-9937-131c87691550,manual,645.6618007535855,,,38.79219807692308,26.0,53.0,-14.120935,14.120935,3.665,175.92894322116433,180,7136.641009123996,7136.641009123996,7136.641009123996,17592.46319495245,203.3949266821684,406.7898533643368,406.7898533643368,19800.0,0.004444328188489936,0.004288359788422316,0.06275806946833414,1,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p641_6p398_20240320_20240330.json
obs_067,2024-08-14,neagh,207.3406028,,207.3406028,wiggle,d4f98445-4755-48ae-9462-0bbe2026a726,wiggle,1212.9979588122944,,,213.7673142857143,3.5,8.0,-13.671252,13.671252,3.91,191.6663455216596,200,14211.576598664786,14211.576598664786,25188.035573367324,17280.361092099767,201.55544436305618,201.55544436305618,201.55544436305618,12600.0,0.004827060488127936,0.0045093367519432005,0.06599196035244002,0,supercritical,/home/op/PROJECTS/langmuir_rebuild/data/raw/era5_cache/54p669_6p316_20240804_20240814.json
