observation_id,image_date,authoritative_lat,authoritative_lng,category,dist_from_prev_m,n_points
03235bff-e963-47d3-a80b-e112903f105b,2024-03-22,54.56209538004077,-6.390520959879203,manual,41.38043773584906,54
0345649c-7a74-47f3-bc24-76e4b2c44aa7,2025-12-12,54.67933333752662,-6.410492659702437,manual,69.8883,32
0491cf85-cd53-4f82-9fd2-1161bf079129,2024-09-18,54.57252630786392,-6.394143544427273,stream,63.24060714285714,29
0574dd04-f7c8-47e0-a10b-74b384616825,2025-09-08,54.53287813805014,-6.417332652587682,stream,99.39977272727272,12
13f4bc67-64a0-4138-a77e-24a90a3dbc43,2025-09-08,54.64333124829764,-6.454618348222363,stream,183.87415,11
14fe7ae8-d764-4d46-9368-b9d997fc7356,2024-08-14,54.69839485854614,-6.346915809284548,stream,41.69476,11
215706c1-3e3b-4726-8e17-b1dc20d79ca9,2025-09-26,54.610839250599454,-6.437407228534103,manual,35.5749875,65
27c82753-bb1a-40c3-b4c8-11ec016d6ff4,2025-12-12,54.56300336553704,-6.44439417149941,manual,87.91182500000001,17
29c725b0-160f-4c13-a916-84db1ec33ea4,2025-02-05,54.54493615086265,-6.384614697383171,manual,44.8625976744186,44
2b2acb35-4ebb-4a79-9a29-7ab477e1e115,2025-03-12,54.671684357475264,-6.463956072183769,manual,43.20777547169811,54
2d56ea34-de25-4754-9937-131c87691550,2024-03-30,54.64226840792184,-6.388251249941961,manual,38.79219807692308,53
3076b16b-4568-4791-a2fa-4c738ff72047,2025-09-08,54.54866867197856,-6.470354378752016,stream,89.53478125,17
3eed8c43-7c6a-4c84-96aa-705199885435,2024-09-06,54.594550248687554,-6.489487492523668,stream,89.37044444444444,10
51de510b-9548-4608-8016-7f3aca78431a,2025-08-07,54.644764131476414,-6.316219044952536,stream,39.37512608695652,24
5ba1f800-1288-4148-82b2-8b568dc8a8b9,2024-03-30,54.67560640725435,-6.358476639145937,manual,42.64070789473684,39
5d696837-6c59-4ff5-ae6f-4d45291bf244,2024-08-09,54.67215398199601,-6.411144013107896,stream,94.71690833333334,13
62069e93-48f8-403b-8b0f-73422dd00c30,2024-02-29,54.66239797355095,-6.338815958992675,manual,47.9775129032258,63
689b3034-30eb-42ca-bff8-79caf7918f5f,2025-08-17,54.593892758873736,-6.381769334526046,stream,43.66888461538461,40
6a071d52-c1fc-4799-bd5a-12e9a1a44e99,2025-11-02,54.569962233017485,-6.498426374283218,manual,49.44464651162791,44
6d5fdbf3-cdef-4945-ab2d-ea10aedefe14,2024-07-28,54.68064572013595,-6.368736141328098,stream,32.44494,26
75c3f919-db63-46e2-8409-24b4ad241d28,2025-12-12,54.56260375843491,-6.418145967454722,manual,56.23269677419355,32
7d7bccdf-13c4-4d5c-8e7b-bf78dd716e65,2025-09-08,54.53042168966496,-6.446392360782609,stream,74.41709999999999,16
85d72389-649d-4fcc-aea6-5b5085521247,2024-10-01,54.59065247037907,-6.397605611489192,manual,41.50606875,33
861653e0-a21c-4737-a3c3-644e0d37a900,2025-08-07,54.70690481993844,-6.252645643390065,stream,44.74076111111111,19
86f4e510-de58-4a07-bdc1-c3af2012e61d,2025-11-24,54.56148424877953,-6.457614992980714,manual,50.8905523076923,66
8a978be2-161a-422f-acfe-0ec430ff43ef,2024-09-18,54.62699289845644,-6.342189524612364,stream,44.69072413793104,30
8f9b00c1-7390-42db-9dc5-f29fd519f71f,2025-08-17,54.61428816961975,-6.46315129949472,stream,41.38408648648649,38
96b58610-86ec-4e05-8e6b-e9ca71a7e103,2025-12-02,54.62598631163349,-6.356038564910834,manual,41.97626363636363,45
9ab21fee-caaa-4d83-9dde-75ac31454a92,2025-11-24,54.63081651708624,-6.438369070347018,manual,66.26376666666667,49
9c2a1b36-9fa3-48da-9df0-5e78537a7bde,2024-02-29,54.56184208119875,-6.467662466888118,manual,37.19904237288136,60
a2c30aab-e595-4427-9775-f0c5216ae9f1,2025-08-17,54.542826316571,-6.528625641514994,stream,87.3306125,17
a6b9d9ab-a28f-4097-9436-ec4f34e4012d,2025-04-06,54.53767036518645,-6.502431130283735,manual,39.25008292682927,42
aca30c86-591e-4860-836f-85dc75dd5455,2025-03-12,54.57084208889517,-6.379625239257902,manual,51.52653409090909,45
afee9388-78f5-4a15-bfb3-8604d959feeb,2024-10-11,54.61131549361896,-6.353593593644315,manual,41.32171666666667,49
b38352e8-726c-49b8-b375-c36369f1dbd3,2024-07-23,54.57184592244035,-6.397940138362129,stream,189.4990083333333,13
b954c4e2-5ef8-4a67-a07a-dfdabe3b9e55,2025-03-30,54.64598173068303,-6.404583750915418,manual,42.407941666666666,25
bf879a2a-e8b6-4cb9-a05d-bb3db0adad46,2025-02-28,54.66803885659089,-6.351403736419558,manual,56.99612040816327,50
c62ccf45-4187-4aa4-902d-f6d1fed97795,2025-01-01,54.5304417799991,-6.394714811591528,manual,41.20394615384616,40
d34d678c-51fc-4bd8-993b-3be4dcb2b81b,2025-02-25,54.65734077217576,-6.326990880412975,manual,41.93975106382979,48
d41a61de-f731-4a7f-9bf2-52e9a14ecfa1,2024-10-11,54.55506370366507,-6.471246443328527,manual,47.3132306122449,50
d4f98445-4755-48ae-9462-0bbe2026a726,2024-08-14,54.67112624305359,-6.297922417335459,wiggle,213.7673142857143,8
d5154891-f5d1-454d-bf86-7c8006598bf6,2025-08-17,54.5456719630082,-6.545192428493279,stream,41.15346382978724,48
d955cd0b-4893-459e-8ee8-642a3864a351,2025-12-02,54.55062454847886,-6.47505961224936,manual,48.18048666666667,31
de5a92dc-a7a9-4417-a6cb-41759789308a,2025-11-02,54.66777654921132,-6.394144639216204,manual,58.30911111111112,37
e3c4104d-2ef6-4e7d-ad5d-55331dac38f1,2024-03-22,54.69124633608315,-6.313324705025384,manual,35.71513414634146,42
e4b83d80-94a0-465d-a452-72846860a6ce,2025-09-26,54.67366344236636,-6.458913028259,manual,41.22745526315789,39
e4d4dd4d-1926-4f37-a69c-32eefafb6b88,2024-07-23,54.678204578758034,-6.382526332702126,wiggle,186.2168896551724,30
e85c4b2d-1b03-4c0c-9cb1-b896d8be3f41,2025-03-30,54.5213104115528,-6.384583495976907,manual,38.66078484848485,34
eb11aa51-3619-420f-93c5-90865dcf96d8,2025-08-12,54.66387149545727,-6.4480370256040365,wiggle,346.71206,6
ebff8dca-1084-42b1-ae1e-36564c64ae80,2025-02-25,54.56193521690015,-6.470204980257033,manual,40.76162894736842,39
f02369e7-328d-4f15-956c-6be72c20fc86,2025-11-25,54.62729732550434,-6.367834582602002,manual,63.642425,33
f0a7eb78-4313-4550-9394-143c0bd05ea8,2024-07-23,54.69141496196277,-6.376749518146798,stream,99.58981333333332,16
f968ba1c-9e66-42f1-b99f-5105787b2c7a,2024-08-09,54.6382870281922,-6.323069897090278,manual,45.42167073170732,42
ffb0d6db-3275-4f2e-a47f-ee2b8ee50c6d,2025-10-28,54.57456528831466,-6.394279384078705,manual,34.484857142857145,36
