case_id,observed_spacing,U10,depth,Ra,L_inst,coarsened_width,comparison_spacing,pattern_lifetime_s,u_star_water,nu_T_vertical,A_H,site_id,wiggle_spacing,manual_spacing,measurement_method,n_events,visible_n_events,mechanical_capped_width,cap_binding
obs_001,369.5447048,1.4249999999999998,2.0,20228.384656178383,30.310388786622074,30.310388786622074,30.310388786622074,0.0,0.0015889312002575573,0.00021714844715522085,0.0031778624005151146,taihu,369.5447048,,wiggle,0,0,24.0,True
obs_002,54.51738712,1.455,3.5,19149.7427018708,55.51189203691689,55.51189203691689,55.51189203691689,0.0,0.0016209780616938058,0.00038767413000434417,0.005673423215928321,prairie,54.51738712,,wiggle,0,0,42.0,True
obs_003,76.20806952,1.9449999999999998,3.5,19237.092975055,53.98960569050551,53.98960569050551,53.98960569050551,0.0,0.002157547327444205,0.0005160003721679772,0.007551415646054718,prairie,,76.20806952,manual,0,0,42.0,True
obs_004,71.61642828,3.2199999999999998,2.0,21893.218690825797,25.938573647731705,103.75429459092682,103.75429459092682,19800.0,0.0037834759128714903,0.0005170619843049546,0.007566951825742981,taihu,97.85781439,71.61642828,manual,2,2,24.0,True
obs_005,40.44183062,3.2199999999999998,2.0,21893.218690825797,25.938573647731705,103.75429459092682,103.75429459092682,19800.0,0.0037834759128714903,0.0005170619843049546,0.007566951825742981,taihu,188.5792208,40.44183062,manual,2,2,24.0,True
obs_006,125.3438923,2.5250000000000004,2.0,21756.97296945504,27.221620759500745,108.88648303800298,108.88648303800298,19800.0,0.0028479515870877617,0.0003892102216943755,0.005695903174175523,taihu,125.3438923,,wiggle,2,2,24.0,True
obs_007,126.24514,2.665,2.0,21824.180690105808,26.934435243183948,53.868870486367896,53.868870486367896,5400.0,0.0030265479366649176,0.0004136177731176115,0.006053095873329835,taihu,126.24514,,wiggle,1,1,24.0,True
obs_008,110.7985895,1.625,2.0,20640.073031174397,29.599218589897358,29.599218589897358,29.599218589897358,0.0,0.0018039157212554075,0.00024652892309371646,0.003607831442510815,taihu,110.7985895,,wiggle,0,0,24.0,True
obs_009,157.9727524,2.5149999999999997,2.0,21751.218306623876,27.242787767750784,54.48557553550157,54.48557553550157,5400.0,0.002835383852289673,0.00038749267464437034,0.005670767704579346,taihu,157.9727524,,wiggle,1,1,24.0,True
obs_010,108.120343,2.5149999999999997,2.0,21751.218306623876,27.242787767750784,54.48557553550157,54.48557553550157,5400.0,0.002835383852289673,0.00038749267464437034,0.005670767704579346,taihu,108.120343,,wiggle,1,1,24.0,True
obs_011,75.59410319,3.16,2.0,21897.681152447673,26.036756585422744,104.14702634169097,104.14702634169097,19800.0,0.0036979391068071637,0.0005053722493381574,0.0073958782136143274,taihu,75.59410319,,wiggle,2,2,24.0,True
obs_012,115.5076462,3.16,2.0,21897.681152447673,26.036756585422744,104.14702634169097,104.14702634169097,19800.0,0.0036979391068071637,0.0005053722493381574,0.0073958782136143274,taihu,115.5076462,,wiggle,2,2,24.0,True
obs_013,148.6952771,4.39,2.0,21533.59619197331,24.351161023341234,97.40464409336494,97.40464409336494,19800.0,0.005613015586630763,0.0007670927591435996,0.011226031173261526,taihu,148.6952771,,wiggle,2,2,24.0,True
obs_014,147.7419404,2.0949999999999998,2.0,21379.75717106665,28.223527476396065,56.44705495279213,56.44705495279213,19800.0,0.0023291185672341596,0.00031830483285450546,0.004658237134468319,taihu,147.7419404,,wiggle,1,1,24.0,True
obs_015,197.885081,2.36,2.0,21644.504881976096,27.582933793155306,110.33173517262122,110.33173517262122,19800.0,0.0026437416126240875,0.0003613022299316069,0.005287483225248175,taihu,197.885081,,wiggle,2,2,24.0,True
obs_016,41.34629574,5.175,3.5,16071.40499566534,47.690818356593084,190.76327342637234,190.76327342637234,19800.0,0.0069947419435347925,0.0016728668707158406,0.024481596802371774,prairie,,41.34629574,manual,2,2,42.0,True
obs_017,148.4256036,4.335,2.0,21556.78765285412,24.414535371018854,97.65814148407541,97.65814148407541,19800.0,0.005520617732993136,0.0007544653713532196,0.011041235465986272,taihu,148.4256036,,wiggle,2,2,24.0,True
obs_018,118.7082602,1.9899999999999998,3.5,19228.222500086886,53.86471411042694,53.86471411042694,53.86471411042694,0.0,0.002208571717069456,0.000528203397196152,0.007730001009743097,prairie,118.7082602,,wiggle,0,0,42.0,True
obs_019,38.21719311,3.935,2.0,21713.93250453646,24.904671152691318,99.61868461076527,99.61868461076527,19800.0,0.0048668335518142905,0.0006651171228610122,0.009733667103628581,taihu,125.875616,38.21719311,manual,2,2,24.0,True
obs_020,111.5705296,5.1899999999999995,2.0,21174.51016373049,23.520001312321874,94.0800052492875,94.0800052492875,19800.0,0.007022264766985928,0.000959685283677883,0.014044529533971856,taihu,111.5705296,,wiggle,2,2,24.0,True
obs_021,179.0578665,1.53,2.0,20450.922925559607,29.925717607796695,29.925717607796695,29.925717607796695,0.0,0.001701376642617691,0.00023251560288495095,0.003402753285235382,taihu,179.0578665,,wiggle,0,0,24.0,True
obs_022,78.84174563,2.52,2.0,21754.11214502798,27.23219296297495,108.9287718518998,108.9287718518998,19800.0,0.0028416645923272183,0.0003883510207740942,0.005683329184654437,taihu,78.84174563,,wiggle,2,2,24.0,True
obs_023,240.0385851,1.21,2.0,19734.55774805047,31.189625385292935,31.189625385292935,31.189625385292935,0.0,0.0013605102149838058,0.000185931700802817,0.0027210204299676116,taihu,240.0385851,,wiggle,0,0,24.0,True
obs_024,74.96224053,5.24,9.0,15714.163212711956,129.3807016394333,258.7614032788666,258.7614032788666,19800.0,0.007114306029751258,0.004375187723758545,0.06402875426776132,neagh,,74.96224053,manual,1,1,108.0,True
obs_025,110.0430083,3.935,2.0,21713.93250453646,24.904671152691318,99.61868461076527,99.61868461076527,19800.0,0.0048668335518142905,0.0006651171228610122,0.009733667103628581,taihu,110.0430083,,wiggle,2,2,24.0,True
obs_026,212.1271591,2.62,2.0,21805.220945162277,27.024930442354552,54.049860884709105,54.049860884709105,12600.0,0.0029686002518804107,0.00040569845617981323,0.005937200503760821,taihu,300.5653587,212.1271591,manual,1,1,24.0,True
obs_027,42.44398558,2.49,2.0,21736.249698670767,27.29610388353154,109.18441553412616,109.18441553412616,19800.0,0.0028040737432791546,0.00038321373446697767,0.005608147486558309,taihu,,42.44398558,manual,2,2,24.0,True
obs_028,94.03664409,3.7350000000000003,2.0,21781.47660232827,25.171265471536245,100.68506188614498,100.68506188614498,19800.0,0.004552359167585151,0.0006221400422961752,0.009104718335170302,taihu,94.03664409,,wiggle,2,2,24.0,True
obs_029,99.70918716,5.52,9.0,15418.96135641274,128.74483342551116,257.4896668510223,257.4896668510223,19800.0,0.007638189330755775,0.004697367818015356,0.06874370397680198,neagh,,99.70918716,manual,1,1,108.0,True
obs_030,76.38345592,3.4699999999999998,9.0,17841.569716019112,134.23561719294088,268.47123438588176,268.47123438588176,19800.0,0.00414912545884488,0.0025516477216410744,0.03734212912960392,neagh,,76.38345592,manual,1,1,108.0,True
obs_031,52.64559171,6.135,9.0,14810.494989839872,127.42970982669917,254.85941965339833,254.85941965339833,19800.0,0.008838866672845506,0.0054357657369884455,0.07954980005560955,neagh,,52.64559171,manual,1,1,108.0,True
obs_032,47.17957738,5.705,9.0,15230.33100137551,128.33819070948994,256.6763814189799,256.6763814189799,19800.0,0.007992158416974317,0.004915053308931403,0.07192942575276885,neagh,,47.17957738,manual,1,1,108.0,True
obs_033,43.47822366,6.1,9.0,14843.735164789217,127.50187865245628,255.00375730491257,255.00375730491257,19800.0,0.008768696659511337,0.005392612268521984,0.07891826993560204,neagh,,43.47822366,manual,1,1,108.0,True
obs_034,406.7357008,1.575,7.0,19201.901313820323,113.87061213412088,113.87061213412088,113.87061213412088,0.0,0.0017498397680546754,0.000836985553054005,0.012248878376382728,erie,406.7357008,,wiggle,0,0,84.0,True
obs_035,150.0154346,3.365,2.0,21873.734652349292,25.709430810216425,102.8377232408657,102.8377232408657,12600.0,0.003993761524363406,0.0005458002921606715,0.007987523048726812,taihu,150.0154346,,wiggle,2,2,24.0,True
obs_036,100.4628601,4.02,3.5,17280.461270093852,49.510015599669586,198.04006239867834,198.04006239867834,19800.0,0.005003036172099562,0.001196529269108228,0.017510626602348468,prairie,,100.4628601,manual,2,2,42.0,True
obs_037,185.1798507,1.63,2.0,20649.688464481544,29.582559816783817,29.582559816783817,29.582559816783817,0.0,0.0018093375754416156,0.0002472698911211844,0.0036186751508832313,taihu,185.1798507,,wiggle,0,0,24.0,True
obs_038,69.86280218,0.98,2.0,19162.289510285842,32.30130949481171,32.30130949481171,32.30130949481171,0.0,0.0011168168862755058,0.0001526277868872765,0.0022336337725510115,taihu,69.86280218,,wiggle,0,0,24.0,True
obs_039,63.17308753,3.63,3.5,17735.46035718156,50.20925680934625,100.4185136186925,100.4185136186925,19800.0,0.0043907165033649645,0.0010500865130519325,0.015367507761777376,prairie,,63.17308753,manual,1,1,42.0,True
obs_040,52.46092535,7.16,3.5,14481.916977201576,45.21388907263728,180.85555629054912,180.85555629054912,19800.0,0.010992702531004983,0.0026290216325635255,0.03847445885851744,prairie,,52.46092535,manual,2,2,42.0,True
obs_041,53.37615632,5.085,9.0,15882.772457444917,129.7442643678867,129.7442643678867,129.7442643678867,0.0,0.006830474943677309,0.004200636013694533,0.061474274493095775,neagh,,53.37615632,manual,0,0,108.0,True
obs_042,43.35428673,5.645,9.0,15290.962867593278,128.46896511493114,256.9379302298623,256.9379302298623,19800.0,0.007876676752154565,0.004844033878487216,0.07089009076939108,neagh,,43.35428673,manual,1,1,108.0,True
obs_043,53.46002757,2.865,9.0,18575.55724998043,136.44696821331002,272.89393642662003,272.89393642662003,19800.0,0.0032903476668128054,0.0020235127162839084,0.02961312900131525,neagh,,53.46002757,manual,1,1,108.0,True
obs_044,49.45643707,4.96,9.0,16021.503345055784,130.04399112366906,260.0879822473381,260.0879822473381,19800.0,0.006604809589758611,0.004061855325597364,0.059443286307827504,neagh,,49.45643707,manual,1,1,108.0,True
obs_045,78.83919333,1.6949999999999998,9.0,19233.242714438733,142.58206351666388,142.58206351666388,142.58206351666388,0.0,0.0018800785064151324,0.0011562190839936903,0.01692070655773619,neagh,,78.83919333,manual,0,0,108.0,True
obs_046,79.91778623,2.44,9.0,18984.278888144087,138.30506372766703,276.61012745533407,276.61012745533407,19800.0,0.0027419185797432025,0.0016862373447909381,0.02467726721768882,neagh,,79.91778623,manual,1,1,108.0,True
obs_047,56.36417221,2.96,9.0,18468.15124996433,136.07047545049767,272.14095090099534,272.14095090099534,19800.0,0.003419222693639741,0.0021027688563647947,0.03077300424275767,neagh,,56.36417221,manual,1,1,108.0,True
obs_048,49.19757739,4.0649999999999995,9.0,17085.374775173685,132.39797520736423,264.79595041472845,264.79595041472845,19800.0,0.005075747605460888,0.003121505951450581,0.045681728449147994,neagh,,49.19757739,manual,1,1,108.0,True
obs_049,37.24675827,5.484999999999999,9.0,15455.214007903582,128.8229308102575,257.645861620515,257.645861620515,19800.0,0.0075719219015430205,0.0046566143781767814,0.06814729711388719,neagh,,37.24675827,manual,1,1,108.0,True
obs_050,76.61044046,5.535,3.5,15742.15939923096,47.18820596724595,188.7528238689838,188.7528238689838,12600.0,0.0076666578834347215,0.0018335627083662087,0.026833302592021525,prairie,,76.61044046,manual,2,2,42.0,True
obs_051,39.32672674,3.99,9.0,17179.502712012963,132.61532398227405,132.61532398227405,132.61532398227405,5400.0,0.004954793534957073,0.0030471210764966682,0.04459314181461366,neagh,,39.32672674,manual,0,0,108.0,True
obs_052,517.7878724,3.0300000000000002,7.0,18397.568491535694,106.99449055975529,213.98898111951058,213.98898111951058,19800.0,0.0035156405356083953,0.0016816055914116868,0.024609483749258768,erie,517.7878724,,wiggle,1,1,84.0,True
obs_053,38.0,2.42,7.0,19002.877764822304,109.47432197431034,218.94864394862068,218.94864394862068,19800.0,0.0027172287017253097,0.0012997082414100858,0.01902060091207717,erie,38.0,,wiggle,1,1,84.0,True
obs_054,82.91286298,4.4,3.5,16856.840019954354,48.873063584231765,195.49225433692706,195.49225433692706,19800.0,0.00562987884514888,0.0013464453559860875,0.01970457595802108,prairie,,82.91286298,manual,2,2,42.0,True
obs_055,43.77557268,5.635,9.0,15301.118715371627,128.49086278584036,256.9817255716807,256.9817255716807,19800.0,0.007857493318568564,0.00483223636474884,0.07071743986711708,neagh,,43.77557268,manual,1,1,108.0,True
obs_056,48.91934722,1.9049999999999998,9.0,19237.932018835505,141.19917354482223,141.19917354482223,141.19917354482223,0.0,0.002112493542017649,0.0012991507215044528,0.019012441878158842,neagh,,48.91934722,manual,0,0,108.0,True
obs_057,47.62729888,4.535,9.0,16511.724579612874,131.1119471245636,262.2238942491272,262.2238942491272,19800.0,0.005859434858579529,0.003603461441525361,0.05273491372721576,neagh,,47.62729888,manual,1,1,108.0,True
obs_058,145.2011897,2.855,9.0,18586.598617594667,136.48733473285955,272.9746694657191,272.9746694657191,19800.0,0.0032769151665424175,0.002015251937223152,0.029492236498881757,neagh,,145.2011897,manual,1,1,108.0,True
obs_059,41.35939644,2.9699999999999998,9.0,18456.600584566444,136.0315588585001,272.0631177170002,272.0631177170002,16200.0,0.003432921279502992,0.0021111932739328776,0.03089629151552693,neagh,342.9462524,41.35939644,manual,1,1,108.0,True
obs_060,37.8473114,6.1899999999999995,9.0,14758.58220820349,127.31690006413588,254.63380012827176,254.63380012827176,19800.0,0.00894958221564691,0.0055038540764087976,0.08054623994082219,neagh,,37.8473114,manual,1,1,108.0,True
obs_061,67.69346434,4.025,9.0,17135.50306401638,132.51343767135364,265.0268753427073,265.0268753427073,19800.0,0.00501109466880892,0.0030817453994639635,0.04509985201928028,neagh,,67.69346434,manual,1,1,108.0,True
obs_062,40.72962664,7.765000000000001,9.0,13418.671814480267,124.34603584925537,497.3841433970215,497.3841433970215,19800.0,0.012354913306123174,0.007598079812563413,0.11119421975510857,neagh,,40.72962664,manual,2,2,108.0,True
obs_063,78.44640948,3.665,9.0,17592.55206771357,133.6028215306535,267.205643061307,267.205643061307,19800.0,0.004444328188489936,0.0027331928159007074,0.03999895369640943,neagh,,78.44640948,manual,1,1,108.0,True
obs_064,43.24604302,2.965,3.5,18507.183190760174,51.52744763291622,103.05489526583244,103.05489526583244,19800.0,0.003426068836490425,0.0008193807719603245,0.011991240927716487,prairie,52.33482851,43.24604302,manual,1,1,42.0,True
obs_065,334.7000556,3.2,3.5,18242.081038341774,51.04146040634614,102.08292081269228,102.08292081269228,19800.0,0.0037548664747788308,0.0008980162213739629,0.013142032661725908,prairie,,334.7000556,manual,1,1,42.0,True
obs_066,106.3726971,2.755,3.5,18726.39101907177,51.983093852422684,51.983093852422684,51.983093852422684,0.0,0.0031439931773586233,0.000751919380388463,0.011003976120755182,prairie,106.3726971,,wiggle,0,0,42.0,True
obs_067,207.3406028,3.91,9.0,17280.511391578148,132.8513027117546,265.7026054235092,265.7026054235092,12600.0,0.004827060488127936,0.002968567236379579,0.04344354439315142,neagh,207.3406028,,wiggle,1,1,108.0,True
