subset_id,model,model_type,n_cases,rmse_m,mae_m,rmse_ratio_pct,mae_ratio_pct,bias_m,pearson_r,spearman_rho,hit_rate_30pct,tail_coverage_low,tail_coverage_high,tail_coverage_overall,dynamic_range_p90_p10,range_coverage_fraction,dynamic_range_pass,attractor_pass,attractor_max_fraction,attractor_message
BM-A_full,baseline_constant,baseline,67,91.43101028488547,61.89813346896859,94.65214541190906,74.76275458378954,1.6331877807023198e-14,-1.693459201867127e-16,,0.2537313432835821,0.0,0.3888888888888889,0.16279069767441862,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,baseline_depth_scaled,baseline,67,83.81572676080135,52.81722355471802,84.29192031549645,59.77153159126903,2.269494708248678e-14,0.3995530867978657,0.5231481498147476,0.4626865671641791,0.32,0.5,0.3953488372093023,2.784111781126071,0.3331893341000358,False,False,0.8208955223880597,"FAIL: 82.09% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,baseline_linear_wind,baseline,67,84.25213238220148,54.95108472126772,87.46592116268867,63.60448566418119,5.387398653225834e-14,0.38841841407178357,0.46525179633865804,0.3283582089552239,0.16,0.4444444444444444,0.27906976744186046,2.5495486471904045,0.3273215295233297,False,False,0.8507462686567164,"FAIL: 85.07% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
BM-A_full,cl,candidate,67,135.72263692121967,105.91188958797258,156.0368129405888,118.3895633228276,-35.39500179669869,-0.31756978184277734,-0.5374069592315888,0.08955223880597014,0.12,0.05555555555555555,0.09302325581395349,24.34197635316297,0.42517593265506765,False,True,0.29850746268656714,OK: max fraction in any 20% band = 29.85%
BM-A_full,scaling,candidate,67,127.79276155626088,91.90512169418382,94.88959554491866,84.59857894617612,-62.415458985187975,-0.32035809134583976,-0.523666987619721,0.08955223880597014,0.12,0.0,0.06976744186046512,22.997134581548956,0.2933112287725736,False,True,0.373134328358209,OK: max fraction in any 20% band = 37.31%
BM-B_cross_method,baseline_constant,baseline,6,71.17307475166263,68.47087856121892,139.01148045703744,127.43948985937905,33.893409172661705,,,0.0,0.0,0.0,0.0,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,baseline_depth_scaled,baseline,6,73.23825570124484,72.50581769087367,157.64433993159918,143.60547637300175,47.49305607632051,0.7465174072079136,0.6957252427829382,0.0,0.0,0.0,0.0,1.1978040616800165,0.1585302471262703,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,baseline_linear_wind,baseline,6,71.9000041107099,70.61084923376868,151.58907205437032,137.84226403624783,43.254277513620174,0.5990928121099094,0.753702346348183,0.0,0.0,0.0,0.0,1.1704005703794953,0.17606962367258322,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 212] m. Attractor behaviour detected."
BM-B_cross_method,cl,candidate,6,94.99485205428039,65.24770019680575,119.05218325092707,85.62376493742603,-24.759576697839794,-0.39443005986980884,-0.46381682852195877,0.3333333333333333,0.5,0.0,0.4,5.288279131562454,0.790423701773109,True,True,0.16666666666666666,OK: max fraction in any 20% band = 16.67%
BM-B_cross_method,scaling,candidate,6,86.0727815611889,58.48954272958116,77.53598467905339,69.85166646098429,-41.14577746303369,-0.30029514512158023,-0.46381682852195877,0.16666666666666666,0.25,0.0,0.2,3.642467825655286,0.436366330998763,False,True,0.16666666666666666,OK: max fraction in any 20% band = 16.67%
BM-C_narrow_spacing,baseline_constant,baseline,30,59.8866696468434,58.95055854399504,135.02818166095975,128.13391522991355,58.95055854399504,,,0.0,0.0,,0.0,1.0,0.0,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-C_narrow_spacing,baseline_depth_scaled,baseline,30,54.46391614887577,43.86838830454417,117.47268182241086,92.74409123669938,39.614524681970224,0.24288642101315613,0.17310045718416514,0.3333333333333333,0.32,,0.32,3.002886749057176,4.245237346321129,True,True,0.13333333333333333,OK: max fraction in any 20% band = 13.33%
BM-C_narrow_spacing,baseline_linear_wind,baseline,30,56.642180615530506,47.08154781912739,121.90495827165807,99.64501286351859,42.61189448588951,0.24011618542188498,0.2024922168511737,0.16666666666666666,0.16,,0.16,2.8127199470519075,4.170474379501585,True,True,0.13333333333333333,OK: max fraction in any 20% band = 13.33%
BM-C_narrow_spacing,cl,candidate,30,97.13908288020117,78.8156154453306,215.18683046241688,168.37184339809207,62.680017730854686,-0.11019065429460706,-0.11527762965641405,0.13333333333333333,0.12,,0.12,8.637318070635757,5.41725848739891,True,True,0.06666666666666667,OK: max fraction in any 20% band = 6.67%
BM-C_narrow_spacing,scaling,candidate,30,49.30345257115817,43.563456440883506,108.97898550779858,92.59651953254789,19.656688541582543,-0.13558826428784265,-0.1486260994846045,0.1,0.12,,0.12,8.614012775601203,3.7371417840969117,True,True,0.06666666666666667,OK: max fraction in any 20% band = 6.67%
BM-D_wide_spacing,baseline_constant,baseline,12,190.8298192399877,154.80405454900497,54.73442200645319,52.287003304012956,-154.80405454900497,,,0.08333333333333333,,0.08333333333333333,0.08333333333333333,1.0,0.0,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-D_wide_spacing,baseline_depth_scaled,baseline,12,171.097279935,125.29230896003162,45.19686723707611,39.134333865249715,-125.29230896003162,-0.13322818949956894,-0.027972027972027972,0.4166666666666667,,0.4166666666666667,0.4166666666666667,1.4101945209775921,0.20700392314665217,False,True,0.3333333333333333,OK: max fraction in any 20% band = 33.33%
BM-D_wide_spacing,baseline_linear_wind,baseline,12,169.61985391218178,127.07102884918386,45.42009737636952,40.487504658665756,-127.07102884918386,0.04946548577952386,0.17482517482517487,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1.3927692656410842,0.17002306943993625,False,True,0.4166666666666667,OK: max fraction in any 20% band = 41.67%
BM-D_wide_spacing,cl,candidate,12,255.2463429356024,237.0507583198254,91.09424635528359,90.84468673793333,-237.0507583198254,0.6533929991710052,0.16083916083916086,0.0,,0.0,0.0,17.495076515754306,0.30345987836785193,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-D_wide_spacing,scaling,candidate,12,264.8302014617251,244.80823625538392,93.42786104169596,93.33131744059511,-244.80823625538392,0.6284949801950792,0.23076923076923078,0.0,,0.0,0.0,15.892765710007989,0.18938361182606092,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-E_neagh,baseline_constant,baseline,26,56.8120870999068,53.68963414443169,116.77071465181652,103.47577848732861,43.24715024971299,,,0.07692307692307693,0.0,0.5,0.05263157894736842,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 207] m. Attractor behaviour detected."
BM-E_neagh,baseline_depth_scaled,baseline,26,42.694280345523985,33.24489497127138,70.56072732849078,54.84999423622736,14.411087349367424,0.3004698207541533,0.5354761575953185,0.46153846153846156,0.4117647058823529,0.5,0.42105263157894735,2.600348273043814,0.73388110248166,True,True,0.4230769230769231,OK: max fraction in any 20% band = 42.31%
BM-E_neagh,baseline_linear_wind,baseline,26,48.266675137158785,39.07112688899301,85.4325700890608,67.27027988218671,23.367940886822602,0.30046982075415335,0.5354761575953185,0.23076923076923078,0.23529411764705882,0.5,0.2631578947368421,2.6413834131832408,0.8280911446686955,True,True,0.4230769230769231,OK: max fraction in any 20% band = 42.31%
BM-E_neagh,cl,candidate,26,112.38824513908091,99.5229157093567,229.72186636875804,189.73750026100015,71.44322481835755,-0.30715692636983427,-0.41115107173462445,0.038461538461538464,0.0,0.5,0.05263157894736842,9.64808000723088,1.1221395841889368,True,True,0.4230769230769231,OK: max fraction in any 20% band = 42.31%
BM-E_neagh,scaling,candidate,26,64.5937901203695,54.05558699938733,114.53669759075271,97.67240215047616,19.515327854250206,-0.33734617686570517,-0.47529492915548704,0.11538461538461539,0.0,0.0,0.0,9.133754671247727,0.7779467152794975,True,False,0.7307692307692307,"FAIL: 73.08% of predictions in a band spanning 20% of observed range [37, 207] m. Attractor behaviour detected."
BM-E_north_america,baseline_constant,baseline,15,148.87683884940483,93.42563177468655,93.2243340371947,75.20402048129621,-32.488086260338285,,,0.2,0.0,0.0,0.0,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,baseline_depth_scaled,baseline,15,144.59766694701952,93.07229069667068,105.01972388718643,78.35419850476829,-26.624291959348866,0.2075810106744865,0.1857142857142857,0.4,0.2,0.0,0.125,1.9343563860196928,0.24409981805845432,False,False,0.9333333333333333,"FAIL: 93.33% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,baseline_linear_wind,baseline,15,142.57867222886935,92.41825135548379,106.47545759011399,78.93018967821472,-29.24052642066219,0.28015192510316517,0.18928571428571428,0.3333333333333333,0.0,0.0,0.0,2.2956955672476114,0.2754354854838318,False,False,0.8666666666666667,"FAIL: 86.67% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,cl,candidate,15,169.65464061976476,106.03122951238844,79.27141039857808,65.66764904145272,-87.39710762606985,0.10927467512464187,-0.3071428571428571,0.26666666666666666,0.4,0.0,0.25,13.151422670889806,0.2254454813685254,False,False,0.7333333333333333,"FAIL: 73.33% of predictions in a band spanning 20% of observed range [38, 518] m. Attractor behaviour detected."
BM-E_north_america,scaling,candidate,15,179.99284711434163,112.00346027593609,69.83103532537311,62.33406386349778,-107.80588592205979,0.12635905474911518,-0.3071428571428571,0.2,0.6,0.0,0.375,12.962437730520639,0.14081747232993932,False,True,0.26666666666666666,OK: max fraction in any 20% band = 26.67%
BM-E_taihu,baseline_constant,baseline,26,74.34652352101631,51.91769146328358,66.61394997824266,45.79515420091974,-24.50402356105624,,,0.46153846153846156,0.0,0.46153846153846156,0.375,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,baseline_depth_scaled,baseline,26,64.94375533608148,49.165474940884266,83.47206033996757,53.97229957313804,0.9490810887185225,0.3887384913720367,0.32517565693629474,0.5,0.0,0.6153846153846154,0.5,1.517631069325858,0.26036482380037196,False,False,0.8846153846153846,"FAIL: 88.46% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,baseline_linear_wind,baseline,26,65.07174282359706,49.21536949534087,76.64781661203153,51.096939130387064,-6.498406413363501,0.3887384913720368,0.32517565693629474,0.4230769230769231,0.0,0.5384615384615384,0.4375,1.6519393509281162,0.2937884682453741,False,False,0.8461538461538461,"FAIL: 84.62% of predictions in a band spanning 20% of observed range [38, 370] m. Attractor behaviour detected."
BM-E_taihu,cl,candidate,26,135.02606223388003,112.23201351019468,79.64989444743877,77.4581153931405,-112.23201351019468,-0.4725555044729126,-0.43744683112061544,0.038461538461538464,0.3333333333333333,0.0,0.0625,8.814039812868483,0.07962912835650014,False,True,0.0,OK: max fraction in any 20% band = 0.00%
BM-E_taihu,scaling,candidate,26,138.63810772515092,118.15946105335397,85.2687455299095,84.36966828957515,-118.15946105335397,-0.339631913179863,-0.3751500210549253,0.0,0.0,0.0,0.0,8.540134072023175,0.051713252657947795,False,True,0.0,OK: max fraction in any 20% band = 0.00%
proxy_high_wind,baseline_constant,baseline,54,82.00887169392544,56.350009196182974,101.10754373538909,80.30634646004007,12.537417318958003,2.1106409368248795e-16,,0.25925925925925924,0.0,0.5,0.17142857142857143,1.0,0.0,False,False,1.0,"FAIL: 100.00% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
proxy_high_wind,baseline_depth_scaled,baseline,54,76.17283840517801,45.56978534254346,82.45403171155714,57.36641486760716,1.9396734094582129,0.3463718485409174,0.4547967179228819,0.5,0.34782608695652173,0.5,0.4,2.584282179446533,0.27434054801964763,False,False,0.9074074074074074,"FAIL: 90.74% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
proxy_high_wind,baseline_linear_wind,baseline,54,76.63961969298288,47.59146451666557,84.96663142436627,61.165786077028336,1.7056253788793339,0.32972821815843967,0.3914220429482871,0.3333333333333333,0.17391304347826086,0.4166666666666667,0.2571428571428571,2.2400253449764227,0.26091818644380177,False,False,0.9629629629629629,"FAIL: 96.30% of predictions in a band spanning 20% of observed range [37, 518] m. Attractor behaviour detected."
proxy_high_wind,cl,candidate,54,121.04451493855393,97.62177660297803,169.1986930299259,128.62286583733822,-10.811662769652575,-0.24788550197172188,-0.44551191063716117,0.09259259259259259,0.08695652173913043,0.08333333333333333,0.08571428571428572,9.412022632981321,0.4247527730678802,False,True,0.37037037037037035,OK: max fraction in any 20% band = 37.04%
proxy_high_wind,scaling,candidate,54,108.78338971762044,78.62715048736054,96.7169758181977,84.46027277114473,-43.452136191391894,-0.23981570602897484,-0.4376417704739886,0.1111111111111111,0.13043478260869565,0.0,0.08571428571428572,8.833238769724787,0.29311121982051624,False,True,0.4444444444444444,OK: max fraction in any 20% band = 44.44%
proxy_low_wind,baseline_constant,baseline,1,38.53194875432837,38.53194875432837,55.15374069172266,55.15374069172266,38.53194875432837,,,0.0,,,,1.0,,False,True,0.0,OK: max fraction in any 20% band = 0.00%
proxy_low_wind,baseline_depth_scaled,baseline,1,100.93266626760918,100.93266626760918,144.47268520314765,144.47268520314765,100.93266626760918,,,0.0,,,,1.0,,False,True,0.0,OK: max fraction in any 20% band = 0.00%
proxy_low_wind,baseline_linear_wind,baseline,1,98.22823067790169,98.22823067790169,140.6016186193316,140.6016186193316,98.22823067790169,,,0.0,,,,1.0,,False,True,0.0,OK: max fraction in any 20% band = 0.00%
proxy_low_wind,cl,candidate,1,66.87209289007463,66.87209289007463,95.71916785957157,95.71916785957157,-66.87209289007463,,,0.0,,,,1.0,,False,True,0.0,OK: max fraction in any 20% band = 0.00%
proxy_low_wind,scaling,candidate,1,67.76839862722748,67.76839862722748,97.0021191715495,97.0021191715495,-67.76839862722748,,,0.0,,,,1.0,,False,True,0.0,OK: max fraction in any 20% band = 0.00%
